ticker,date,open,high,low,close
OPTU,2025-11-19,1.8,1.82,1.68,1.79
OPTU,2025-11-20,1.81,1.86,1.7,1.7
OPTU,2025-11-21,1.7,1.78,1.7,1.77
OPTU,2025-11-24,1.77,1.81,1.725,1.76
OPTU,2025-11-25,1.9,2.1352,1.9,2.08
OPTU,2025-11-26,2.06,2.06,1.89,1.91
OPTU,2025-11-28,1.91,1.96,1.865,1.9
OPTU,2025-12-01,1.89,1.96,1.87,1.91
OPTU,2025-12-02,1.9,1.905,1.815,1.85
OPTU,2025-12-03,1.85,1.906,1.8401,1.87
OPTU,2025-12-04,1.91,1.93,1.855,1.9
OPTU,2025-12-05,1.89,1.91,1.83,1.84
OPTU,2025-12-08,1.84,1.855,1.8,1.81
OPTU,2025-12-09,1.81,1.826,1.74,1.76
OPTU,2025-12-10,1.76,1.94,1.73,1.91
OPTU,2025-12-11,1.921,1.97,1.85,1.94
OPTU,2025-12-12,1.93,1.9787,1.88,1.89
OPTU,2025-12-15,1.9,1.92,1.81,1.82
OPTU,2025-12-16,1.79,1.85,1.785,1.8
OPTU,2025-12-17,1.78,1.83,1.695,1.74
OPTU,2025-12-18,1.7514,1.77,1.59,1.65
OPTU,2025-12-19,1.65,1.7,1.6,1.7
